address	available_bike_stands	available_bikes	banking	bike_stands	bonus	contract_name	last_update	lat	lng	name	number	status	idr
112 RUE VERCINGETORIX - 75014 PARIS	62	5	0	67	0	Paris	15/07/2013 17:45	48,83425925	2,313391647	14029 - GERGOVIE VERCINGETORIX	14029	OPEN	41226
112 RUE VERCINGETORIX - 75014 PARIS	62	5	0	67	0	Paris	15/07/2013 17:50	48,83425925	2,313391647	14029 - GERGOVIE VERCINGETORIX	14029	OPEN	42455
112 RUE VERCINGETORIX - 75014 PARIS	64	3	0	67	0	Paris	15/07/2013 17:55	48,83425925	2,313391647	14029 - GERGOVIE VERCINGETORIX	14029	OPEN	43684
112 RUE VERCINGETORIX - 75014 PARIS	64	3	0	67	0	Paris	15/07/2013 18:00	48,83425925	2,313391647	14029 - GERGOVIE VERCINGETORIX	14029	OPEN	44913
112 RUE VERCINGETORIX - 75014 PARIS	65	2	0	67	0	Paris	15/07/2013 18:05	48,83425925	2,313391647	14029 - GERGOVIE VERCINGETORIX	14029	OPEN	46142
112 RUE VERCINGETORIX - 75014 PARIS	64	3	0	67	0	Paris	15/07/2013 18:10	48,83425925	2,313391647	14029 - GERGOVIE VERCINGETORIX	14029	OPEN	47371
112 RUE VERCINGETORIX - 75014 PARIS	63	4	0	67	0	Paris	15/07/2013 18:15	48,83425925	2,313391647	14029 - GERGOVIE VERCINGETORIX	14029	OPEN	48600
112 RUE VERCINGETORIX - 75014 PARIS	61	6	0	67	0	Paris	15/07/2013 18:20	48,83425925	2,313391647	14029 - GERGOVIE VERCINGETORIX	14029	OPEN	49829
112 RUE VERCINGETORIX - 75014 PARIS	61	6	0	67	0	Paris	15/07/2013 18:25	48,83425925	2,313391647	14029 - GERGOVIE VERCINGETORIX	14029	OPEN	51058
112 RUE VERCINGETORIX - 75014 PARIS	62	5	0	67	0	Paris	15/07/2013 18:30	48,83425925	2,313391647	14029 - GERGOVIE VERCINGETORIX	14029	OPEN	52287
112 RUE VERCINGETORIX - 75014 PARIS	63	4	0	67	0	Paris	15/07/2013 18:35	48,83425925	2,313391647	14029 - GERGOVIE VERCINGETORIX	14029	OPEN	53516
112 RUE VERCINGETORIX - 75014 PARIS	64	3	0	67	0	Paris	15/07/2013 18:40	48,83425925	2,313391647	14029 - GERGOVIE VERCINGETORIX	14029	OPEN	54745
112 RUE VERCINGETORIX - 75014 PARIS	63	4	0	67	0	Paris	15/07/2013 18:45	48,83425925	2,313391647	14029 - GERGOVIE VERCINGETORIX	14029	OPEN	55974
112 RUE VERCINGETORIX - 75014 PARIS	64	3	0	67	0	Paris	15/07/2013 18:50	48,83425925	2,313391647	14029 - GERGOVIE VERCINGETORIX	14029	OPEN	57203
112 RUE VERCINGETORIX - 75014 PARIS	65	2	0	67	0	Paris	15/07/2013 18:55	48,83425925	2,313391647	14029 - GERGOVIE VERCINGETORIX	14029	OPEN	58432
112 RUE VERCINGETORIX - 75014 PARIS	65	2	0	67	0	Paris	15/07/2013 19:00	48,83425925	2,313391647	14029 - GERGOVIE VERCINGETORIX	14029	OPEN	59661
112 RUE VERCINGETORIX - 75014 PARIS	65	2	0	67	0	Paris	15/07/2013 19:05	48,83425925	2,313391647	14029 - GERGOVIE VERCINGETORIX	14029	OPEN	60890
112 RUE VERCINGETORIX - 75014 PARIS	65	2	0	67	0	Paris	15/07/2013 19:10	48,83425925	2,313391647	14029 - GERGOVIE VERCINGETORIX	14029	OPEN	62119
112 RUE VERCINGETORIX - 75014 PARIS	65	2	0	67	0	Paris	15/07/2013 19:15	48,83425925	2,313391647	14029 - GERGOVIE VERCINGETORIX	14029	OPEN	63348
112 RUE VERCINGETORIX - 75014 PARIS	65	2	0	67	0	Paris	15/07/2013 19:20	48,83425925	2,313391647	14029 - GERGOVIE VERCINGETORIX	14029	OPEN	64577
112 RUE VERCINGETORIX - 75014 PARIS	65	2	0	67	0	Paris	15/07/2013 19:25	48,83425925	2,313391647	14029 - GERGOVIE VERCINGETORIX	14029	OPEN	65806
112 RUE VERCINGETORIX - 75014 PARIS	65	2	0	67	0	Paris	15/07/2013 19:30	48,83425925	2,313391647	14029 - GERGOVIE VERCINGETORIX	14029	OPEN	67035
112 RUE VERCINGETORIX - 75014 PARIS	65	2	0	67	0	Paris	15/07/2013 19:35	48,83425925	2,313391647	14029 - GERGOVIE VERCINGETORIX	14029	OPEN	68264
112 RUE VERCINGETORIX - 75014 PARIS	63	4	0	67	0	Paris	15/07/2013 19:40	48,83425925	2,313391647	14029 - GERGOVIE VERCINGETORIX	14029	OPEN	69493
112 RUE VERCINGETORIX - 75014 PARIS	64	3	0	67	0	Paris	15/07/2013 19:45	48,83425925	2,313391647	14029 - GERGOVIE VERCINGETORIX	14029	OPEN	70722
112 RUE VERCINGETORIX - 75014 PARIS	64	3	0	67	0	Paris	15/07/2013 19:50	48,83425925	2,313391647	14029 - GERGOVIE VERCINGETORIX	14029	OPEN	71951
112 RUE VERCINGETORIX - 75014 PARIS	65	2	0	67	0	Paris	15/07/2013 19:55	48,83425925	2,313391647	14029 - GERGOVIE VERCINGETORIX	14029	OPEN	73180
112 RUE VERCINGETORIX - 75014 PARIS	65	2	0	67	0	Paris	15/07/2013 20:00	48,83425925	2,313391647	14029 - GERGOVIE VERCINGETORIX	14029	OPEN	74409
112 RUE VERCINGETORIX - 75014 PARIS	65	2	0	67	0	Paris	15/07/2013 20:05	48,83425925	2,313391647	14029 - GERGOVIE VERCINGETORIX	14029	OPEN	75638
112 RUE VERCINGETORIX - 75014 PARIS	65	2	0	67	0	Paris	15/07/2013 20:10	48,83425925	2,313391647	14029 - GERGOVIE VERCINGETORIX	14029	OPEN	76867
